ID;Carga;Deformação;tempo(s)
amostra3;26,6294;0,009505;0
amostra3;26,6294;0,009505;0,343741
amostra3;26,6294;0,009505;0,78123
amostra3;32,849;0,018229;1,140596
amostra3;35,9588;0,022786;1,468713
amostra3;32,849;0,026432;1,796829
amostra3;32,849;0,026432;2,124946
amostra3;32,849;0,026432;2,781179
amostra3;35,9588;0,037239;3,171794
amostra3;35,9588;0,039452;3,562409
amostra3;35,9588;0,039452;3,937399
amostra3;35,9588;0,046613;4,343639
amostra3;35,9588;0,046613;4,671756
amostra3;35,9588;0,052993;5,015497
amostra3;35,9588;0,052993;5,343614
amostra3;35,9588;0,057941;5,67173
amostra3;35,9588;0,057941;6,046721
amostra3;35,9588;0,057941;6,343588
amostra3;39,0686;0,066665;6,734203
amostra3;39,0686;0,066665;7,156067
amostra3;39,0686;0,072134;7,546682
amostra3;39,0686;0,072134;7,874799
amostra3;39,0686;0,078904;8,265414
amostra3;39,0686;0,078904;8,59353
amostra3;39,0686;0,085805;8,99977
amostra3;39,0686;0,08919;9,468508
amostra3;39,0686;0,08919;9,796625
amostra3;39,0686;0,09557;10,124741
amostra3;39,0686;0,09557;10,468482
amostra3;42,1784;0,101299;10,796599
amostra3;42,1784;0,101299;11,187214
amostra3;42,1784;0,108591;11,702826
amostra3;42,1784;0,108591;12,030942
amostra3;42,1784;0,108591;12,359059
amostra3;42,1784;0,108591;12,7028
amostra3;42,1784;0,108591;13,07779
amostra3;42,1784;0,108591;13,6559
amostra3;45,2882;0,128122;14,030891
amostra3;45,2882;0,128122;14,359008
amostra3;45,2882;0,128122;14,749623
amostra3;45,2882;0,128122;15,233985
amostra3;45,2882;0,128122;15,671474
amostra3;51,5078;0,144397;16,108963
amostra3;54,6176;0,147262;16,437079
amostra3;54,6176;0,147262;16,780821
amostra3;57,7274;0,155855;17,437054
amostra3;57,7274;0,155855;17,780795
amostra3;60,8372;0,162756;18,202659
amostra3;60,8372;0,162756;18,687022
amostra3;60,8372;0,162756;19,499501
amostra3;60,8372;0,162756;20,218233
amostra3;60,8372;0,162756;20,655722
amostra3;60,8372;0,162756;21,046337
amostra3;73,2764;0,187495;21,374453
amostra3;82,6058;0,191011;21,702569
amostra3;82,6058;0,191011;22,030686
amostra3;85,7156;0,195959;22,374427
amostra3;85,7156;0,195959;22,827541
amostra3;88,8254;0,203771;23,171282
amostra3;88,8254;0,203771;23,655644
amostra3;95,045;0,212364;24,296253
amostra3;95,045;0,212364;24,655619
amostra3;104,3744;0,217312;24,983736
amostra3;104,3744;0,217312;25,327477
amostra3;110,594;0,223302;25,655593
amostra3;116,8136;0,2289;26,139956
amostra3;116,8136;0,2289;26,483697
amostra3;116,8136;0,2289;26,811814
amostra3;116,8136;0,2289;27,202429
amostra3;126,143;0,238405;27,530545
amostra3;141,692;0,244134;27,983659
amostra3;141,692;0,244134;28,3274
amostra3;141,692;0,244134;28,874261
amostra3;151,0214;0,257025;29,499245
amostra3;160,3508;0,261321;30,09298
amostra3;160,3508;0,261321;30,421096
amostra3;160,3508;0,261321;30,749213
amostra3;166,5704;0,268092;31,092954
amostra3;166,5704;0,268092;31,421071
amostra3;175,8998;0,273691;31,749187
amostra3;175,8998;0,273691;32,124178
amostra3;191,4488;0,283196;32,702288
amostra3;203,888;0,286451;33,108528
amostra3;210,1076;0,291399;33,686638
amostra3;219,437;0,294654;34,046004
amostra3;219,437;0,294654;34,436619
amostra3;228,7664;0,300774;34,764735
amostra3;228,7664;0,300774;35,092852
amostra3;238,0958;0,305201;35,436593
amostra3;247,4252;0,309367;35,842833
amostra3;256,7546;0,312752;36,264697
amostra3;256,7546;0,312752;36,608438
amostra3;262,9742;0,31731;37,045927
amostra3;262,9742;0,31731;37,374043
amostra3;275,4134;0,32369;37,70216
amostra3;284,7428;0,326294;38,061526
amostra3;290,9624;0,329809;38,389642
amostra3;300,2918;0,332804;38,717759
amostra3;300,2918;0,332804;39,045876
amostra3;306,5114;0,338142;39,389617
amostra3;318,9506;0,341918;39,733358
amostra3;318,9506;0,341918;40,061475
amostra3;331,3898;0,348429;40,780206
amostra3;346,9388;0,353507;41,108323
amostra3;346,9388;0,353507;41,43644
amostra3;346,9388;0,353507;41,78018
amostra3;359,378;0,360668;42,108297
amostra3;371,8172;0,365876;42,670783
amostra3;371,8172;0,365876;43,030149
amostra3;371,8172;0,365876;43,452013
amostra3;387,3662;0,37447;43,780129
amostra3;387,3662;0,37447;44,108246
amostra3;387,3662;0,37447;44,451987
amostra3;418,4642;0,385016;44,889476
amostra3;418,4642;0,385016;45,233217
amostra3;434,0132;0,394261;46,123819
amostra3;434,0132;0,394261;46,483185
amostra3;434,0132;0,394261;46,8738
amostra3;477,5504;0,40676;47,498784
amostra3;477,5504;0,40676;47,842525
amostra3;477,5504;0,40676;48,217516
amostra3;499,319;0,415614;48,545632
amostra3;499,319;0,415614;48,873749
amostra3;521,0876;0,420562;49,295613
amostra3;521,0876;0,420562;49,701853
amostra3;539,7464;0,426291;50,061219
amostra3;539,7464;0,426291;50,420584
amostra3;555,2954;0,435666;51,029944
amostra3;570,8444;0,441004;51,670552
amostra3;570,8444;0,441004;52,014294
amostra3;570,8444;0,441004;52,34241
amostra3;592,613;0,449988;52,701776
amostra3;592,613;0,449988;53,029892
amostra3;592,613;0,449988;53,358009
amostra3;611,2718;0,459103;53,795498
amostra3;611,2718;0,459103;54,123615
amostra3;629,9306;0,463139;54,498605
amostra3;639,26;0,465613;54,826722
amostra3;645,4796;0,47017;55,154838
amostra3;657,9188;0,474337;55,576703
amostra3;657,9188;0,474337;55,936068
amostra3;673,4678;0,479285;56,373557
amostra3;682,7972;0,483581;56,779797
amostra3;682,7972;0,483581;57,123538
amostra3;698,3462;0,489831;57,467279
amostra3;698,3462;0,489831;57,795396
amostra3;713,8952;0,493217;58,170386
amostra3;713,8952;0,493217;58,59225
amostra3;713,8952;0,493217;58,935991
amostra3;744,9932;0,505586;59,404729
amostra3;744,9932;0,505586;59,795344
amostra3;769,8716;0,513659;60,373455
amostra3;769,8716;0,513659;60,701571
amostra3;804,0794;0,518867;61,029688
amostra3;822,7382;0,523945;61,5453
amostra3;822,7382;0,523945;61,889041
amostra3;841,397;0,530716;62,373404
amostra3;841,397;0,530716;62,717144
amostra3;841,397;0,530716;63,154634
amostra3;869,3852;0,541132;63,607747
amostra3;869,3852;0,541132;63,935863
amostra3;909,8126;0,547512;64,373352
amostra3;909,8126;0,547512;64,748343
amostra3;934,691;0,555585;65,388951
amostra3;934,691;0,555585;65,717068
amostra3;965,789;0,560272;66,045185
amostra3;965,789;0,560272;66,388926
amostra3;990,6674;0,568215;66,935787
amostra3;1021,7654;0,571079;67,279528
amostra3;1021,7654;0,571079;67,623269
amostra3;1027,985;0,576027;67,96701
amostra3;1052,8634;0,582407;68,57637
amostra3;1052,8634;0,582407;68,904486
amostra3;1052,8634;0,582407;69,232603
amostra3;1052,8634;0,582407;69,73259
amostra3;1093,2908;0,594776;70,060707
amostra3;1139,9378;0,598943;70,623192
amostra3;1139,9378;0,598943;70,951309
amostra3;1152,377;0,605714;71,357548
amostra3;1152,377;0,605714;71,779413
amostra3;1192,8044;0,611703;72,154403
amostra3;1192,8044;0,611703;72,498144
amostra3;1192,8044;0,611703;72,85751
amostra3;1192,8044;0,611703;73,373122
amostra3;1223,9024;0,627067;74,076229
amostra3;1223,9024;0,627067;74,498093
amostra3;1286,0984;0,632536;74,919957
amostra3;1286,0984;0,632536;75,435569
amostra3;1286,0984;0,632536;75,763686
amostra3;1286,0984;0,632536;76,154301
amostra3;1332,7454;0,646468;76,482417
amostra3;1376,2826;0,649983;76,810534
amostra3;1376,2826;0,649983;77,154275
amostra3;1388,7218;0,65441;77,498016
amostra3;1388,7218;0,65441;78,169874
amostra3;1413,6002;0,665348;78,544865
amostra3;1413,6002;0,665348;78,872981
amostra3;1469,5766;0,670165;79,232347
amostra3;1469,5766;0,670165;79,68546
amostra3;1503,7844;0,678889;80,138574
amostra3;1503,7844;0,678889;80,482315
amostra3;1503,7844;0,678889;80,857305
amostra3;1541,102;0,687613;81,185422
amostra3;1541,102;0,687613;81,529163
amostra3;1541,102;0,687613;81,85728
amostra3;1578,4196;0,697248;82,341642
amostra3;1578,4196;0,697248;82,669759
amostra3;1634,396;0,705581;83,482238
amostra3;1634,396;0,705581;83,810355
amostra3;1634,396;0,705581;84,138471
amostra3;1690,3724;0,715216;84,497837
amostra3;1690,3724;0,715216;85,013449
amostra3;1743,239;0,721987;85,372815
amostra3;1743,239;0,721987;85,716556
amostra3;1768,1174;0,726414;86,044672
amostra3;1768,1174;0,726414;86,372789
amostra3;1802,3252;0,732664;86,71653
amostra3;1802,3252;0,732664;87,044647
amostra3;1802,3252;0,732664;87,49776
amostra3;1833,4232;0,744773;88,10712
amostra3;1833,4232;0,744773;88,513359
amostra3;1911,1682;0,751543;88,919599
amostra3;1911,1682;0,751543;89,247715
amostra3;1911,1682;0,751543;89,575832
amostra3;1948,4858;0,760658;89,982071
