ID;Carga;Deformação;tempo(s)
carga_pesada;20,4098;0;0
carga_pesada;20,4098;0;0,343743
carga_pesada;20,4098;0;0,671862
carga_pesada;32,849;0,008203;0,999981
carga_pesada;32,849;0,008203;1,343724
carga_pesada;32,849;0,008203;1,671843
carga_pesada;29,7392;0,016015;1,999961
carga_pesada;29,7392;0,016015;2,32808
carga_pesada;32,849;0,022786;2,671824
carga_pesada;32,849;0,022786;2,999942
carga_pesada;32,849;0,022786;3,343686
carga_pesada;32,849;0,029427;3,671804
carga_pesada;32,849;0,029427;3,999923
carga_pesada;32,849;0,036978;4,343667
carga_pesada;32,849;0,036978;4,671785
carga_pesada;32,849;0,036978;4,999904
carga_pesada;32,849;0,04453;5,328022
carga_pesada;32,849;0,04453;5,671766
carga_pesada;32,849;0,05039;5,999885
carga_pesada;32,849;0,05039;6,328003
carga_pesada;32,849;0,05039;6,671747
carga_pesada;35,9588;0,057681;6,999866
carga_pesada;35,9588;0,057681;7,327984
carga_pesada;32,849;0,064712;7,671728
carga_pesada;32,849;0,064712;7,999846
carga_pesada;32,849;0,071223;8,327965
carga_pesada;32,849;0,071223;8,671709
carga_pesada;32,849;0,071223;8,999827
carga_pesada;32,849;0,078775;9,327946
carga_pesada;32,849;0,078775;9,671689
carga_pesada;32,849;0,078775;9,999808
carga_pesada;32,849;0,086196;10,327927
carga_pesada;32,849;0,086196;10,67167
carga_pesada;32,849;0,086196;10,999789
carga_pesada;32,849;0,093618;11,327908
carga_pesada;32,849;0,093618;11,671651
carga_pesada;32,849;0,10117;11,99977
carga_pesada;32,849;0,10117;12,327888
carga_pesada;32,849;0,10117;12,671632
carga_pesada;32,849;0,108592;12,99975
carga_pesada;32,849;0,108592;13,327869
carga_pesada;32,849;0,108592;13,671612
carga_pesada;32,849;0,116144;13,999731
carga_pesada;32,849;0,116144;14,32785
carga_pesada;32,849;0,122654;14,671593
carga_pesada;32,849;0,122654;14,999712
carga_pesada;32,849;0,122654;15,327831
carga_pesada;29,7392;0,129945;15,655949
carga_pesada;29,7392;0,129945;15,999693
carga_pesada;32,849;0,136846;16,327811
carga_pesada;32,849;0,136846;16,65593
carga_pesada;32,849;0,142185;16,999673
carga_pesada;32,849;0,142185;17,327792
carga_pesada;32,849;0,148955;17,655911
carga_pesada;32,849;0,148955;17,999654
carga_pesada;32,849;0,148955;18,327773
carga_pesada;32,849;0,156377;18,655892
carga_pesada;32,849;0,156377;18,999635
carga_pesada;32,849;0,162236;19,327754
carga_pesada;32,849;0,162236;19,655872
carga_pesada;32,849;0,162236;19,999616
carga_pesada;35,9588;0,169919;20,327734
carga_pesada;35,9588;0,169919;20,655853
carga_pesada;35,9588;0,169919;20,999597
carga_pesada;32,849;0,178122;21,327715
carga_pesada;32,849;0,178122;21,655834
carga_pesada;32,849;0,178122;21,999578
carga_pesada;32,849;0,185283;22,327696
carga_pesada;32,849;0,185283;22,655815
carga_pesada;32,849;0,192054;22,999558
carga_pesada;32,849;0,192054;23,327677
carga_pesada;32,849;0,198955;23,655796
carga_pesada;32,849;0,198955;23,999539
carga_pesada;32,849;0,198955;24,327658
carga_pesada;35,9588;0,206246;24,655777
carga_pesada;35,9588;0,206246;24,983895
carga_pesada;35,9588;0,206246;25,327639
carga_pesada;32,849;0,213668;25,655757
carga_pesada;32,849;0,213668;25,983876
carga_pesada;35,9588;0,220048;26,32762
carga_pesada;35,9588;0,220048;26,655738
carga_pesada;35,9588;0,225647;26,983857
carga_pesada;35,9588;0,225647;27,3276
carga_pesada;35,9588;0,225647;27,655719
carga_pesada;32,849;0,232938;27,983838
carga_pesada;32,849;0,232938;28,327581
carga_pesada;32,849;0,239058;28,6557
carga_pesada;32,849;0,32239;38,655508
carga_pesada;32,849;0,32239;38,983626
carga_pesada;32,849;0,32239;39,32737
carga_pesada;32,849;0,329811;39,655488
carga_pesada;32,849;0,329811;39,983607
carga_pesada;32,849;0,336191;40,327351
carga_pesada;32,849;0,336191;40,655469
carga_pesada;32,849;0,34179;40,983588
carga_pesada;32,849;0,34179;41,327332
carga_pesada;32,849;0,34765;41,65545
carga_pesada;32,849;0,34765;41,983569
carga_pesada;32,849;0,353118;42,327312
carga_pesada;32,849;0,353118;42,655431
carga_pesada;32,849;0,358457;42,98355
carga_pesada;32,849;0,358457;43,327293
carga_pesada;32,849;0,364576;43,655412
carga_pesada;32,849;0,364576;43,983531
carga_pesada;32,849;0,370045;44,327274
carga_pesada;32,849;0,370045;44,655393
carga_pesada;32,849;0,375253;44,983511
carga_pesada;32,849;0,375253;45,327255
carga_pesada;32,849;0,380852;45,655373
carga_pesada;32,849;0,380852;45,983492
carga_pesada;32,849;0,38606;46,327235
carga_pesada;32,849;0,38606;46,655354
carga_pesada;32,849;0,39218;46,983473
carga_pesada;32,849;0,39218;47,327216
carga_pesada;32,849;0,397779;47,655335
carga_pesada;32,849;0,397779;47,983454
carga_pesada;32,849;0,479678;57,983262
carga_pesada;32,849;0,48723;58,327005
carga_pesada;32,849;0,48723;58,655124
carga_pesada;32,849;0,48723;58,983243
carga_pesada;32,849;0,494652;59,326986
carga_pesada;32,849;0,494652;59,655105
carga_pesada;32,849;0,494652;59,983223
carga_pesada;32,849;0,502074;60,326967
carga_pesada;32,849;0,502074;60,655085
carga_pesada;32,849;0,508844;60,983204
carga_pesada;32,849;0,508844;61,326947
carga_pesada;32,849;0,514573;61,655066
carga_pesada;32,849;0,514573;61,983185
carga_pesada;32,849;0,514573;62,326928
carga_pesada;32,849;0,521865;62,655047
carga_pesada;32,849;0,521865;62,983166
carga_pesada;32,849;0,521865;63,326909
carga_pesada;32,849;0,530328;63,655028
carga_pesada;32,849;0,530328;63,983146
carga_pesada;35,9588;0,53775;64,32689
carga_pesada;35,9588;0,53775;64,655008
carga_pesada;35,9588;0,53775;64,983127
carga_pesada;32,849;0,544651;65,32687
carga_pesada;32,849;0,544651;65,654989
carga_pesada;32,849;0,544651;65,983108
carga_pesada;32,849;0,551943;66,326851
carga_pesada;32,849;0,551943;66,65497
carga_pesada;32,849;0,558583;66,983089
carga_pesada;32,849;0,558583;67,326832
carga_pesada;32,849;0,239058;28,983819
carga_pesada;32,849;0,244787;29,327562
carga_pesada;32,849;0,244787;29,655681
carga_pesada;32,849;0,249995;29,983799
carga_pesada;32,849;0,249995;30,327543
carga_pesada;32,849;0,249995;30,655661
carga_pesada;32,849;0,257547;30,98378
carga_pesada;32,849;0,257547;31,327523
carga_pesada;32,849;0,263927;31,655642
carga_pesada;32,849;0,263927;31,983761
carga_pesada;32,849;0,270568;32,327504
carga_pesada;32,849;0,270568;32,655623
carga_pesada;32,849;0,270568;32,983742
carga_pesada;32,849;0,277729;33,327485
carga_pesada;32,849;0,277729;33,655604
carga_pesada;32,849;0,283979;33,983722
carga_pesada;32,849;0,283979;34,327466
carga_pesada;32,849;0,288797;34,655584
carga_pesada;32,849;0,288797;34,983703
carga_pesada;32,849;0,288797;35,327446
carga_pesada;32,849;0,296348;35,655565
carga_pesada;32,849;0,296348;35,983684
carga_pesada;32,849;0,302989;36,327427
carga_pesada;32,849;0,302989;36,655546
carga_pesada;32,849;0,308848;36,983665
