ID;Carga;Deformação;tempo(s)
teste_mario2;75,4808;0,014583;0
teste_mario2;77,00288;0,029167;2,15625
teste_mario2;77,76392;0,047005;4,3125
teste_mario2;77,76392;0,064844;6,453125
teste_mario2;77,76392;0,082682;8,625
teste_mario2;80,04704;0,100781;10,796875
teste_mario2;85,37432;0,11901;12,984375
teste_mario2;93,74576;0,137109;15,15625
teste_mario2;108,96656;0,155469;17,375
teste_mario2;125,70944;0,173828;19,578125
teste_mario2;144,73544;0,192188;21,75
teste_mario2;166,8056;0,210286;23,921875
teste_mario2;182,78744;0,228385;26,09375
teste_mario2;212,468;0,246615;28,28125
teste_mario2;229,97192;0,264714;30,46875
teste_mario2;255,84728;0,282943;32,625
teste_mario2;285,52784;0,300911;34,78125
teste_mario2;311,4032;0,31888;36,96875
teste_mario2;334,2344;0,33724;39,203125
teste_mario2;366,95912;0,355599;41,359375
teste_mario2;391,3124;0,373568;43,515625
teste_mario2;420,23192;0,391667;45,703125
teste_mario2;452,1956;0,409766;47,859375
teste_mario2;484,92032;0,427865;50,046875
teste_mario2;518,40608;0,446094;52,234375
teste_mario2;551,1308;0,464453;54,453125
teste_mario2;584,61656;0,482812;56,625
teste_mario2;620,38544;0,500911;58,796875
teste_mario2;653,8712;0,51901;60,9375
teste_mario2;692,68424;0,536979;63,125
teste_mario2;736,06352;0,555078;65,296875
teste_mario2;783,248;0,573438;67,53125
teste_mario2;833,47664;0,591927;69,71875
teste_mario2;886,74944;0,610026;71,875
teste_mario2;943,0664;0,627995;74,0625
teste_mario2;1000,1444;0,646224;76,25
teste_mario2;1054,93928;0,664453;78,4375
teste_mario2;1108,97312;0,682682;80,609375
teste_mario2;1192,68752;0,700781;82,78125
teste_mario2;1252,04864;0,71875;84,9375
teste_mario2;1340,32928;0,736849;87,15625
teste_mario2;1417,95536;0,755339;89,328125
teste_mario2;1497,86456;0,773437;91,53125
teste_mario2;1583,10104;0,791667;93,6875
teste_mario2;1661,48816;0,809766;95,859375
teste_mario2;1750,52984;0,827865;98,0625
teste_mario2;1844,13776;0,846224;100,21875
teste_mario2;1943,834;0,864323;102,453125
teste_mario2;2050,3796;0,882812;104,625
teste_mario2;2163,01352;0,900781;106,84375
teste_mario2;2280,21368;0,919401;109,03125
teste_mario2;2401,21904;0,93763;111,234375
teste_mario2;2526,0296;0,955859;113,4375
teste_mario2;2657,68952;0,974349;115,640625
teste_mario2;2792,3936;0,992708;117,828125
teste_mario2;2930,90288;1,010938;120,03125
teste_mario2;3073,21736;1,029297;122,203125
teste_mario2;3180,524;1,047266;124,359375
teste_mario2;3332,732;1,065495;126,53125
teste_mario2;3521,46992;1,083333;128,703125
teste_mario2;3686,6156;1,101693;130,890625
teste_mario2;3853,28336;1,119792;133,109375
teste_mario2;4023,75632;1,138411;135,296875
teste_mario2;4195,75136;1,156641;137,546875
teste_mario2;4372,31264;1,175391;139,75
teste_mario2;4551,15704;1,19362;141,984375
teste_mario2;4730,76248;1,21237;144,203125
teste_mario2;4911,12896;1,230599;146,359375
;0;0;0
