ID;Carga;Deformação;tempo(s)
teste_real;7,9706;0,005338;0
teste_real;7,9706;0,005338;0,343741
teste_real;20,4098;0,011328;0,843729
teste_real;23,5196;0,015104;1,171845
teste_real;23,5196;0,015104;1,515586
teste_real;23,5196;0,019401;1,843703
teste_real;23,5196;0,019401;2,171819
teste_real;11,0804;0,023697;2,515561
teste_real;0;0,028254;2,843677
teste_real;0;0,028254;3,171794
teste_real;0;0,032421;3,515535
teste_real;0;0,037108;3,843652
teste_real;0;0,037108;4,171768
teste_real;0;0,041796;4,51551
teste_real;0;0,041796;4,843626
teste_real;0;0,046613;5,171742
teste_real;0;0,051171;5,515484
teste_real;0;0,051171;5,8436
teste_real;0;0,054426;6,171717
teste_real;0;0,054426;6,515458
teste_real;0;0,059894;6,843575
teste_real;4,8608;0,007031;0
teste_real;20,4098;0,010026;0,343741
teste_real;20,4098;0,010026;0,671858
teste_real;23,5196;0,015104;0,999975
teste_real;23,5196;0,015104;1,374965
teste_real;26,6294;0,025911;2,17182
teste_real;26,6294;0,028385;2,531185
teste_real;26,6294;0,028385;2,859302
teste_real;26,6294;0,032942;3,187418
teste_real;26,6294;0,032942;3,578033
teste_real;26,6294;0,032942;3,921775
teste_real;26,6294;0,043358;4,421762
teste_real;26,6294;0,048176;4,812377
teste_real;26,6294;0,048176;5,202992
teste_real;26,6294;0,053254;5,687355
teste_real;26,6294;0,053254;6,124844
teste_real;26,6294;0,061457;6,45296
teste_real;26,6294;0,061457;6,781076
teste_real;26,6294;0,067707;7,124818
teste_real;26,6294;0,067707;7,484184
teste_real;26,6294;0,067707;7,952921
teste_real;26,6294;0,067707;8,406035
teste_real;26,6294;0,079295;8,874773
teste_real;26,6294;0,079295;9,327887
teste_real;26,6294;0,087498;9,749751
teste_real;26,6294;0,087498;10,077867
teste_real;26,6294;0,093878;10,421608
teste_real;26,6294;0,096873;10,780974
teste_real;26,6294;0,099997;11,14034
teste_real;26,6294;0,099997;11,484081
teste_real;26,6294;0,105206;11,812198
teste_real;26,6294;0,105206;12,140315
teste_real;26,6294;0,111846;12,468431
teste_real;26,6294;0,111846;12,812172
teste_real;26,6294;0,111846;13,171538
teste_real;26,6294;0,120309;13,468405
teste_real;26,6294;0,120309;13,812147
teste_real;26,6294;0,126038;14,171513
teste_real;26,6294;0,128773;14,499629
teste_real;26,6294;0,128773;14,827745
teste_real;26,6294;0,128773;15,343358
teste_real;26,6294;0,137757;15,671474
teste_real;26,6294;0,137757;16,093338
teste_real;26,6294;0,145699;16,577701
teste_real;26,6294;0,145699;16,937067
teste_real;26,6294;0,154423;17,546426
teste_real;26,6294;0,154423;17,874543
teste_real;26,6294;0,159892;18,218284
teste_real;26,6294;0,159892;18,562025
teste_real;26,6294;0,159892;18,95264
teste_real;26,6294;0,159892;19,483876
teste_real;26,6294;0,174735;20,030737
teste_real;26,6294;0,174735;20,358854
teste_real;26,6294;0,178251;20,686971
teste_real;26,6294;0,183068;21,061961
teste_real;26,6294;0,183068;21,390078
teste_real;26,6294;0,187495;21,765068
teste_real;26,6294;0,187495;22,140059
teste_real;26,6294;0,196349;22,593172
teste_real;26,6294;0,199344;22,952538
teste_real;26,6294;0,199344;23,280654
teste_real;26,6294;0,199344;23,624395
teste_real;26,6294;0,205984;23,952512
teste_real;26,6294;0,210672;24,280629
teste_real;26,6294;0,210672;24,62437
teste_real;26,6294;0,213797;24,968111
teste_real;26,6294;0,219005;25,311852
teste_real;26,6294;0,219005;25,639969
teste_real;26,6294;0,223171;25,98371
teste_real;26,6294;0,223171;26,436823
teste_real;26,6294;0,223171;26,76494
teste_real;26,6294;0,223171;27,468047
teste_real;26,6294;0,241921;28,077406
teste_real;26,6294;0,241921;28,405523
teste_real;26,6294;0,246869;28,811763
teste_real;26,6294;0,252077;29,436747
teste_real;26,6294;0,252077;29,764863
teste_real;26,6294;0,252077;30,171103
teste_real;26,6294;0,263665;30,764838
teste_real;26,6294;0,263665;31,155453
teste_real;26,6294;0,263665;31,499194
teste_real;26,6294;0,272779;32,03043
teste_real;26,6294;0,272779;32,374171
teste_real;26,6294;0,27968;32,780411
teste_real;26,6294;0,27968;33,186651
teste_real;26,6294;0,286972;33,514767
teste_real;26,6294;0,286972;33,858509
teste_real;26,6294;0,286972;34,186625
teste_real;26,6294;0,293742;34,514741
teste_real;26,6294;0,293742;34,858483
teste_real;29,7392;0,299211;35,217849
teste_real;29,7392;0,299211;35,545965
teste_real;29,7392;0,299211;35,874082
teste_real;29,7392;0,299211;36,249072
